"","Var1","Freq"
"1666","1899",1
"1667","1901",2
"1668","1903",1
"1669","1904",1
"1670","1905",1
"1671","1906",1
"1672","1907",2
"1673","1910",2
"1674","1912",1
"1675","1913",2
"1676","1917",2
"1677","1919",2
"1678","1921",1
"1679","1922",2
"1680","1923",1
"1681","1924",1
"1682","1925",1
"1683","1926",2
"1684","1928",2
"1685","1930",1
"1686","1932",3
"1687","1935",2
"1688","1936",1
"1689","1937",3
"1690","1938",2
"1691","1939",3
"1692","1941",1
"1693","1943",2
"1694","1946",2
"1695","1947",2
"1696","1948",1
"1697","1951",1
"1698","1952",2
"1699","1954",2
"1700","1955",2
"1701","1957",4
"1702","1958",2
"1703","1959",2
"1704","1961",1
"1705","1963",1
"1706","1964",2
"1707","1965",1
"1708","1967",1
"1709","1969",1
"1710","1972",3
"1711","1975",1
"1712","1976",1
"1713","1977",2
"1714","1978",1
"1715","1979",1
"1716","1980",1
"1717","1982",2
"1718","1985",1
"1719","1989",1
"1720","1991",4
"1721","1992",2
"1722","1994",2
"1723","1997",1
"1724","1998",1
"1725","2000",1
"1726","2001",1
"1727","2005",1
"1728","2011",2
"1729","2016",1
"1730","2018",1
"1731","2019",3
"1732","2020",3
"1733","2021",1
"1734","2022",1
"1735","2024",1
"1736","2028",1
"1737","2029",2
"1738","2030",1
"1739","2031",1
"1740","2034",1
"1741","2039",1
"1742","2040",1
"1743","2043",1
"1744","2044",1
"1745","2045",1
"1746","2046",2
"1747","2048",1
"1748","2055",1
"1749","2057",1
"1750","2058",1
"1751","2059",1
"1752","2061",1
"1753","2065",1
"1754","2066",1
"1755","2067",2
"1756","2069",1
"1757","2071",2
"1758","2072",1
"1759","2074",1
"1760","2077",1
"1761","2078",1
"1762","2079",1
"1763","2080",1
"1764","2082",1
"1765","2087",1
"1766","2088",1
"1767","2090",1
"1768","2092",1
